Liu Q., He Z.-X., Yang H., Liu X.-Y., Zeng Q., Zhang M., Liu T.,	Liu Q., He Z.-X., Yang H., Liu X.-Y., Zeng Q., Zhang M., Liu T.
Li J.-J., Zhang K., Wang S.-S., Jing W.-L., Bao J.-M., Yang J.-Y., Wu C.-F.,	Li J.-J., Zhang K., Wang S.-S., Jing W.-L., Bao J.-M., Yang J.-Y., Wu C.-F.
Kong Y., Wu H.-W., Chen Y., Lai S., Yang Z.-M., Chen J.-S.,	Kong Y., Wu H.-W., Chen Y., Lai S., Yang Z.-M., Chen J.-S.
Sun K.-B., Zhang X.-Y., Liu J., Sun R.,	Sun K.-B., Zhang X.-Y., Liu J., Sun R.
Zhou S.-S., Li W.-N., Ai Z.-Z., Wang L.-Q., Ba Y.-M.,	Zhou S.-S., Li W.-N., Ai Z.-Z., Wang L.-Q., Ba Y.-M.
Liu L.-P., Long X., Cao X.-S., Xu X.-Y., Luo Y.-W., Gui R.,	Liu L.-P., Long X., Cao X.-S., Xu X.-Y., Luo Y.-W., Gui R.
Liu J., Fan M.-Y., Sun K.-B., Sun R.,	Liu J., Fan M.-Y., Sun K.-B., Sun R.
Valentina S., Alessio P., Hans-Ulrich I.,	Valentina S., Alessio P., Hans-Ulrich I.
Parth K.,	Parth K.
Al-Qahtani L.A., Almalki S.F.,	Al-Qahtani L.A., Almalki S.F.
Remuzzi A., Remuzzi G.,	Remuzzi A., Remuzzi G.
Wei W.E., Li Z., Chiew C.J., Yong S.E., Toh M.P., Lee V.J.,	Wei W.E., Li Z., Chiew C.J., Yong S.E., Toh M.P., Lee V.J.
Sampangi-Ramaiah M.H., Vishwakarma R., Shaanker R.U.,	Sampangi-Ramaiah M.H., Vishwakarma R., Shaanker R.U.
Nuwagira E., Muzoora C.,	Nuwagira E., Muzoora C.
Xie F., Peng L., Luo X., Ji B.,	Xie F., Peng L., Luo X., Ji B.
Eneizan B., Alhawamdeh H., Arif K., Alhamzah A., Enaizan O.,	Eneizan B., Alhawamdeh H., Arif K., Alhamzah A., Enaizan O.
Specialized Committee Of Neurogenetics Neurophysician Branch Of Chinese Medical Doctor Association, Jiang H., Tang B.,	Specialized Committee Of Neurogenetics Neurophysician Branch Of Chinese Medical Doctor Association, Jiang H., Tang B.
Wang Z., Xu X.,	Wang Z., Xu X.
Bari E., Ferrarotti I., Saracino L., Perteghella S., Torre M.L., Corsico A.G.,	Bari E., Ferrarotti I., Saracino L., Perteghella S., Torre M.L., Corsico A.G.
Fomsgaard A.S., Rosenstierne M.W.,	Fomsgaard A.S., Rosenstierne M.W.
COVID-19 National Incident Room Surveillance Team,	COVID-19 National Incident Room Surveillance Team
Boëlle P.-Y., Souty C., Launay T., Guerrisi C., Turbelin C., Behillil S., Enouf V., Poletto C., Lina B., van der Werf S., Lévy-Bruhl D., Colizza V., Hanslik T., Blanchon T.,	Boëlle P.-Y., Souty C., Launay T., Guerrisi C., Turbelin C., Behillil S., Enouf V., Poletto C., Lina B., van der Werf S., Lévy-Bruhl D., Colizza V., Hanslik T., Blanchon T.
Grifoni A., Sidney J., Zhang Y., Scheuermann R.H., Peters B., Sette A.,	Grifoni A., Sidney J., Zhang Y., Scheuermann R.H., Peters B., Sette A.
Malavolta M., Giacconi R., Brunetti D., Provinciali M., Maggi F.,	Malavolta M., Giacconi R., Brunetti D., Provinciali M., Maggi F.
Song J.-X., Xing Y.-X., Wu J., Zhang H.-B.,	Song J.-X., Xing Y.-X., Wu J., Zhang H.-B.
Qian X., Ren R., Wang Y., Guo Y., Fang J., Wu Z.-D., Liu P.-L., Han T.-R.,	Qian X., Ren R., Wang Y., Guo Y., Fang J., Wu Z.-D., Liu P.-L., Han T.-R.
Guo J., Huang Z., Lin L., Lv J.,	Guo J., Huang Z., Lin L., Lv J.
Zhang T., Wu Q., Zhang Z.,	Zhang T., Wu Q., Zhang Z.
Leach S.,	Leach S.
Ghinai I., McPherson T.D., Hunter J.C., Kirking H.L., Christiansen D., Joshi K., Rubin R., Morales-Estrada S., Black S.R., Pacilli M., Fricchione M.J., Chugh R.K., Walblay K.A., Ahmed N.S., Stoecker W.C., Hasan N.F., Burdsall D.P., Reese H.E., Wallace M., Wang C., Moeller D., Korpics J., Novosad S.A., Benowitz I., Jacobs M.W., Dasari V.S., Patel M.T., Kauerauf J., Charles E.M., Ezike N.O., Chu V., Midgley C.M., Rolfes M.A., Gerber S.I., Lu X., Lindstrom S., Verani J.R., Layden J.E.,	Ghinai I., McPherson T.D., Hunter J.C., Kirking H.L., Christiansen D., Joshi K., Rubin R., Morales-Estrada S., Black S.R., Pacilli M., Fricchione M.J., Chugh R.K., Walblay K.A., Ahmed N.S., Stoecker W.C., Hasan N.F., Burdsall D.P., Reese H.E., Wallace M., Wang C., Moeller D., Korpics J., Novosad S.A., Benowitz I., Jacobs M.W., Dasari V.S., Patel M.T., Kauerauf J., Charles E.M., Ezike N.O., Chu V., Midgley C.M., Rolfes M.A., Gerber S.I., Lu X., Lindstrom S., Verani J.R., Layden J.E.
Wang Y.-Y., Jin Y.-H., Ren X.-Q., Li Y.-R., Zhang X.-C., Zeng X.-T., Wang X.-H.,	Wang Y.-Y., Jin Y.-H., Ren X.-Q., Li Y.-R., Zhang X.-C., Zeng X.-T., Wang X.-H.
Rabby M.I.I.,	Rabby M.I.I.
Henrickson S.E.,	Henrickson S.E.
"Kimball A., Hatfield K.M., Arons M., James A., Taylor J., Spicer K., Bardossy A.C., Oakley L.P., Tanwar S., Chisty Z., Bell J.M., Methner M., Harney J., Jacobs J.R., Carlson C.M., McLaughlin H.P., Stone N., Clark S., Brostrom-Smith C., Page L.C., Kay M., Lewis J., Russell D., Hiatt B., Gant J., Duchin J.S., Clark T.A., Honein M.A., Reddy S.C., Jernigan J.A., Baer A., Barnard L.M., Benoliel E., Fagalde M.S., Ferro J., Smith H.G., Gonzales E., Hatley N., Hatt G., Hope M., Huntington-Frazier M., Kawakami V., Lenahan J.L., Lukoff M.D., Maier E.B., McKeirnan S., Montgomery P., Morgan J.L., Mummert L.A., Pogosjans S., Riedo F.X., Schwarcz L., Smith D., Stearns S., Sykes K.J., Whitney H., Ali H., Banks M., Balajee A., Chow E.J., Cooper B., Currie D.W., Dyal J., Healy J., Hughes M., McMichael T.M., Nolen L., Olson C., Rao A.K., Schmit K., Schwartz N.G., Tobolowsky F., Zacks R., Zane S., Public Health - Seattle & King County; CDC COVID-19 Investigation Team,"	"Kimball A., Hatfield K.M., Arons M., James A., Taylor J., Spicer K., Bardossy A.C., Oakley L.P., Tanwar S., Chisty Z., Bell J.M., Methner M., Harney J., Jacobs J.R., Carlson C.M., McLaughlin H.P., Stone N., Clark S., Brostrom-Smith C., Page L.C., Kay M., Lewis J., Russell D., Hiatt B., Gant J., Duchin J.S., Clark T.A., Honein M.A., Reddy S.C., Jernigan J.A., Baer A., Barnard L.M., Benoliel E., Fagalde M.S., Ferro J., Smith H.G., Gonzales E., Hatley N., Hatt G., Hope M., Huntington-Frazier M., Kawakami V., Lenahan J.L., Lukoff M.D., Maier E.B., McKeirnan S., Montgomery P., Morgan J.L., Mummert L.A., Pogosjans S., Riedo F.X., Schwarcz L., Smith D., Stearns S., Sykes K.J., Whitney H., Ali H., Banks M., Balajee A., Chow E.J., Cooper B., Currie D.W., Dyal J., Healy J., Hughes M., McMichael T.M., Nolen L., Olson C., Rao A.K., Schmit K., Schwartz N.G., Tobolowsky F., Zacks R., Zane S., Public Health - Seattle & King County; CDC COVID-19 Investigation Team"
Banna G., Curioni-Fontecedro A., Friedlaender A., Addeo A.,	Banna G., Curioni-Fontecedro A., Friedlaender A., Addeo A.
COVID-19 National Incident Room Surveillance Team,	COVID-19 National Incident Room Surveillance Team
Lu R., Wu X., Wan Z., Li Y., Jin X., Zhang C.,	Lu R., Wu X., Wan Z., Li Y., Jin X., Zhang C.
Bustin S.A., Nolan T.,	Bustin S.A., Nolan T.
La Vignera S., Cannarella R., Condorelli R.A., Torre F., Aversa A., Calogero A.E.,	La Vignera S., Cannarella R., Condorelli R.A., Torre F., Aversa A., Calogero A.E.
Asai A., Konno M., Ozaki M., Otsuka C., Vecchione A., Arai T., Kitagawa T., Ofusa K., Yabumoto M., Hirotsu T., Taniguchi M., Eguchi H., Doki Y., Ishii H.,	Asai A., Konno M., Ozaki M., Otsuka C., Vecchione A., Arai T., Kitagawa T., Ofusa K., Yabumoto M., Hirotsu T., Taniguchi M., Eguchi H., Doki Y., Ishii H.
Lakshmi Priyadarsini S., Suresh M.,	Lakshmi Priyadarsini S., Suresh M.
D’ardes D., Boccatonda A., Rossi I., Guagnano M.T., Santilli F., Cipollone F., Bucci M.,	D’ardes D., Boccatonda A., Rossi I., Guagnano M.T., Santilli F., Cipollone F., Bucci M.
Di Gennaro F., Pizzol D., Marotta C., Antunes M., Racalbuto V., Veronese N., Smith L.,	Di Gennaro F., Pizzol D., Marotta C., Antunes M., Racalbuto V., Veronese N., Smith L.
Setti L., Passarini F., De Gennaro G., Barbieri P., Perrone M.G., Borelli M., Palmisani J., Di Gilio A., Piscitelli P., Miani A.,	Setti L., Passarini F., De Gennaro G., Barbieri P., Perrone M.G., Borelli M., Palmisani J., Di Gilio A., Piscitelli P., Miani A.
Seah I., Agrawal R.,	Seah I., Agrawal R.
Van der Moeren N., Talman S., van den Bijllaardt W., Kant M., Heukels P., Bentvelsen R.G., Loth D.W.,	Van der Moeren N., Talman S., van den Bijllaardt W., Kant M., Heukels P., Bentvelsen R.G., Loth D.W.
Silvestris N., Moschetta A., Paradiso A., Delvino A.,	Silvestris N., Moschetta A., Paradiso A., Delvino A.
Dong Y., Wang L., Burgner D.P., Miller J.E., Song Y., Ren X., Li Z., Xing Y., Ma J., Sawyer S.M., Patton G.C.,	Dong Y., Wang L., Burgner D.P., Miller J.E., Song Y., Ren X., Li Z., Xing Y., Ma J., Sawyer S.M., Patton G.C.
Yip C.C.-Y., Ho C.-C., Chan J.F.-W., To K.K.-W., Chan H.S.-Y., Wong S.C.-Y., Leung K.-H., Fung A.Y.-F., Ng A.C.-K., Zou Z., Tam A.R., Chung T.W.-H., Chan K.-H., Hung I.F.-N., Cheng V.C.-C., Tsang O.T.-Y., Tsui S.K.W., Yuen K.-Y.,	Yip C.C.-Y., Ho C.-C., Chan J.F.-W., To K.K.-W., Chan H.S.-Y., Wong S.C.-Y., Leung K.-H., Fung A.Y.-F., Ng A.C.-K., Zou Z., Tam A.R., Chung T.W.-H., Chan K.-H., Hung I.F.-N., Cheng V.C.-C., Tsang O.T.-Y., Tsui S.K.W., Yuen K.-Y.
Nikolich-Zugich J., Knox K.S., Rios C.T., Natt B., Bhattacharya D., Fain M.J.,	Nikolich-Zugich J., Knox K.S., Rios C.T., Natt B., Bhattacharya D., Fain M.J.
Chen D., Xu W., Lei Z., Huang Z., Liu J., Gao Z., Peng L.,	Chen D., Xu W., Lei Z., Huang Z., Liu J., Gao Z., Peng L.
Sorbera L.A., Graul A.I., Dulsat C.,	Sorbera L.A., Graul A.I., Dulsat C.
Hassan S.T.S.,	Hassan S.T.S.
Srinivasan R., Gupta P., Rekhi B., Deb P., Nijhawan V.S., Prasoon D., Iyer V., Mathur S., Gupta N., Kamal M., Goel M.M., Chakrabarti I., Jena M., Rao R.N., Rajwanshi A., Raju S., Verma S., Pinto R.G.W.,	Srinivasan R., Gupta P., Rekhi B., Deb P., Nijhawan V.S., Prasoon D., Iyer V., Mathur S., Gupta N., Kamal M., Goel M.M., Chakrabarti I., Jena M., Rao R.N., Rajwanshi A., Raju S., Verma S., Pinto R.G.W.
Ivanov D.,	Ivanov D.
Kuznetsova N.A., Pochtovyy A.A., Nikiforova M.A., Gushchin V.A.,	Kuznetsova N.A., Pochtovyy A.A., Nikiforova M.A., Gushchin V.A.
Vera C., Heidi L.S., Jan P.R., Armin D., Lukas F., Tobias H., Matthias H.,	Vera C., Heidi L.S., Jan P.R., Armin D., Lukas F., Tobias H., Matthias H.
Anand K.B., Karade S., Sen S., Gupta R.M.,	Anand K.B., Karade S., Sen S., Gupta R.M.
Calligari P., Bobone S., Ricci G., Bocedi A.,	Calligari P., Bobone S., Ricci G., Bocedi A.
Li R.-L., Chu S.-G., Luo Y., Huang Z.-H., Hao Y., Fan C.-H.,	Li R.-L., Chu S.-G., Luo Y., Huang Z.-H., Hao Y., Fan C.-H.
Yan Y., Shin W.I., Pang Y.X., Meng Y., Lai J., You C., Zhao H., Lester E., Wu T., Pang C.H.,	Yan Y., Shin W.I., Pang Y.X., Meng Y., Lai J., You C., Zhao H., Lester E., Wu T., Pang C.H.
Tu Y.-F., Chien C.-S., Yarmishyn A.A., Lin Y.-Y., Luo Y.-H., Lin Y.-T., Lai W.-Y., Yang D.-M., Chou S.-J., Yang Y.-P., Wang M.-L., Chiou S.-H.,	Tu Y.-F., Chien C.-S., Yarmishyn A.A., Lin Y.-Y., Luo Y.-H., Lin Y.-T., Lai W.-Y., Yang D.-M., Chou S.-J., Yang Y.-P., Wang M.-L., Chiou S.-H.
Stumpfe F.M., Titzmann A., Schneider M.O., Stelzl P., Kehl S., Fasching P.A., Beckmann M.W., Ensser A.,	Stumpfe F.M., Titzmann A., Schneider M.O., Stelzl P., Kehl S., Fasching P.A., Beckmann M.W., Ensser A.
Gentile D., Patamia V., Scala A., Sciortino M.T., Piperno A., Rescifina A.,	Gentile D., Patamia V., Scala A., Sciortino M.T., Piperno A., Rescifina A.
Chaudhary A., Khurana A.,	Chaudhary A., Khurana A.
Kranke P., Weibel S., Sitter M., Meybohm P., Girard T.,	Kranke P., Weibel S., Sitter M., Meybohm P., Girard T.
Bein B., Bachmann M., Huggett S., Wegermann P.,	Bein B., Bachmann M., Huggett S., Wegermann P.
Hussain A., Bhowmik B., do Vale Moreira N.C.,	Hussain A., Bhowmik B., do Vale Moreira N.C.
Xu Y.-H., Dong J.-H., An W.-M., Lv X.-Y., Yin X.-P., Zhang J.-Z., Dong L., Ma X., Zhang H.-J., Gao B.-L.,	Xu Y.-H., Dong J.-H., An W.-M., Lv X.-Y., Yin X.-P., Zhang J.-Z., Dong L., Ma X., Zhang H.-J., Gao B.-L.
Vashist S.K.,	Vashist S.K.
Chebotar I.V., Shagin D.A.,	Chebotar I.V., Shagin D.A.
Nadeem M.S., Zamzami M.A., Choudhry H., Murtaza B.N., Kazmi I., Ahmad H., Shakoori A.R.,	Nadeem M.S., Zamzami M.A., Choudhry H., Murtaza B.N., Kazmi I., Ahmad H., Shakoori A.R.
Larina V.N., Golovko M.G., Larin V.G.,	Larina V.N., Golovko M.G., Larin V.G.
Tárnok A.,	Tárnok A.
Cossarizza A., De Biasi S., Guaraldi G., Girardis M., Mussini C., for the Modena Covid-19 Working Group (MoCo19)#,	Cossarizza A., De Biasi S., Guaraldi G., Girardis M., Mussini C., for the Modena Covid-19 Working Group (MoCo19)#
Berger J.R.,	Berger J.R.
Li X., Geng M., Peng Y., Meng L., Lu S.,	Li X., Geng M., Peng Y., Meng L., Lu S.
Li C., Xu B.-H.,	Li C., Xu B.-H.
Basta G., Del Turco S., Caselli C., Melani L., Vianello A.,	Basta G., Del Turco S., Caselli C., Melani L., Vianello A.
Sportelli M.C., Izzi M., Kukushkina E.A., Hossain S.I., Picca R.A., Ditaranto N., Cioff N.,	Sportelli M.C., Izzi M., Kukushkina E.A., Hossain S.I., Picca R.A., Ditaranto N., Cioff N.
Xia S., Liu M., Wang C., Xu W., Lan Q., Feng S., Qi F., Bao L., Du L., Liu S., Qin C., Sun F., Shi Z., Zhu Y., Jiang S., Lu L.,	Xia S., Liu M., Wang C., Xu W., Lan Q., Feng S., Qi F., Bao L., Du L., Liu S., Qin C., Sun F., Shi Z., Zhu Y., Jiang S., Lu L.
Nersisyan S.A., Shkurnikov M.Yu., Osipyants A.I., Vechorko V.I.,	Nersisyan S.A., Shkurnikov M.Yu., Osipyants A.I., Vechorko V.I.
Ghadimi-Moghadam A., Haghani M., Bevelacqua J.J., Jafarzadeh A., Kaveh-Ahangar A., Mortazavi S.M.J., Ghadimi-Moghadam A., Mortazavi S.A.R.,	Ghadimi-Moghadam A., Haghani M., Bevelacqua J.J., Jafarzadeh A., Kaveh-Ahangar A., Mortazavi S.M.J., Ghadimi-Moghadam A., Mortazavi S.A.R.
Amawi H., Abu Deiab G.I., A Aljabali A.A., Dua K., Tambuwala M.M.,	Amawi H., Abu Deiab G.I., A Aljabali A.A., Dua K., Tambuwala M.M.
Mungroo M.R., Khan N.A., Siddiqui R.,	Mungroo M.R., Khan N.A., Siddiqui R.
Xiao H.-H., Wang X., Xu Y., Wang C.,	Xiao H.-H., Wang X., Xu Y., Wang C.
Baron S.A., Devaux C., Colson P., Raoult D., Rolain J.-M.,	Baron S.A., Devaux C., Colson P., Raoult D., Rolain J.-M.
Zhao N., Shi J., Zeng L., Yang S.,	Zhao N., Shi J., Zeng L., Yang S.
Dallavilla T., Bertelli M., Morresi A., Bushati V., Stuppia L., Beccari T., Chiurazzi P., Marceddu G.,	Dallavilla T., Bertelli M., Morresi A., Bushati V., Stuppia L., Beccari T., Chiurazzi P., Marceddu G.
Wu H.-L., Huang J., Zhang C.J.P., He Z., Ming W.-K.,	Wu H.-L., Huang J., Zhang C.J.P., He Z., Ming W.-K.
Bersanelli M.,	Bersanelli M.
Das U.N.,	Das U.N.
Zhang N., Deng Y., Li W., Liu J., Li H., Liu E., Zheng X.,	Zhang N., Deng Y., Li W., Liu J., Li H., Liu E., Zheng X.
Chatterjee K., Chatterjee K., Kumar A., Shankar S.,	Chatterjee K., Chatterjee K., Kumar A., Shankar S.
Guo H., Chen X., Su C., Liu Y., Wang H., Sun C., Chen P., Jiang M., Xu Y., Wu S., Jia K., Zhao S., Li W., Chen B., Wang L., Yu J., Xiong A., Gao G., Wu F., Li J., Ye L., Bo B., Chen S., Ren S., He Y., Zhou C.,	Guo H., Chen X., Su C., Liu Y., Wang H., Sun C., Chen P., Jiang M., Xu Y., Wu S., Jia K., Zhao S., Li W., Chen B., Wang L., Yu J., Xiong A., Gao G., Wu F., Li J., Ye L., Bo B., Chen S., Ren S., He Y., Zhou C.
Ko W.-C., Rolain J.-M., Lee N.-Y., Chen P.-L., Huang C.-T., Lee P.-I., Hsueh P.-R.,	Ko W.-C., Rolain J.-M., Lee N.-Y., Chen P.-L., Huang C.-T., Lee P.-I., Hsueh P.-R.
Cordes A.K., Heim A.,	Cordes A.K., Heim A.
Li Y.-K., Peng S., Li L.-Q., Wang Q., Ping W., Zhang N., Fu X.-N.,	Li Y.-K., Peng S., Li L.-Q., Wang Q., Ping W., Zhang N., Fu X.-N.
Khafaie M.A., Rahim F.,	Khafaie M.A., Rahim F.
Robson B.,	Robson B.
Letko M., Marzi A., Munster V.,	Letko M., Marzi A., Munster V.
Earar K., Arbune M., Schipor O., Dorobat C.M., Stefanescu V., Gurau G., Indrei L.L., Fulga I., Pavel L.L., Giuroiu C.-L.,	Earar K., Arbune M., Schipor O., Dorobat C.M., Stefanescu V., Gurau G., Indrei L.L., Fulga I., Pavel L.L., Giuroiu C.-L.
Riccioni L., Bertolini G., Giannini A., Vergano M., Gristina G., Livigni S., Mistraletti G., Petrini F., GRUPPO DI LAVORO SIAARTI - SOCIETA ITALIANA DI ANESTESIA ANALGESIA RIANIMAZIONE E TERAPIA INTENSIVA,	Riccioni L., Bertolini G., Giannini A., Vergano M., Gristina G., Livigni S., Mistraletti G., Petrini F., GRUPPO DI LAVORO SIAARTI - SOCIETA ITALIANA DI ANESTESIA ANALGESIA RIANIMAZIONE E TERAPIA INTENSIVA
Singhal T.,	Singhal T.
Baig A.M., Khaleeq A., Ali U., Syeda H.,	Baig A.M., Khaleeq A., Ali U., Syeda H.
Ahn J.Y., Sohn Y., Lee S.H., Cho Y., Hyun J.H., Baek Y.J., Jeong S.J., Kim J.H., Ku N.S., Yeom J.-S., Roh J., Ahn M.Y., Chin B.S., Kim Y.S., Lee H., Yong D., Kim H.O., Kim S., Choi J.Y.,	Ahn J.Y., Sohn Y., Lee S.H., Cho Y., Hyun J.H., Baek Y.J., Jeong S.J., Kim J.H., Ku N.S., Yeom J.-S., Roh J., Ahn M.Y., Chin B.S., Kim Y.S., Lee H., Yong D., Kim H.O., Kim S., Choi J.Y.
Sánchez-Zúñiga M.J., Carrillo-Esper R.,	Sánchez-Zúñiga M.J., Carrillo-Esper R.
Lei S., Jiang F., Su W., Chen C., Chen J., Mei W., Zhan L.-Y., Jia Y., Zhang L., Liu D., Xia Z.-Y., Xia Z.,	Lei S., Jiang F., Su W., Chen C., Chen J., Mei W., Zhan L.-Y., Jia Y., Zhang L., Liu D., Xia Z.-Y., Xia Z.
Loey M., Smarandache F., Khalifa N.E.M.,	Loey M., Smarandache F., Khalifa N.E.M.
Li D., Wang D., Dong J., Wang N., Huang H., Xu H., Xia C.,	Li D., Wang D., Dong J., Wang N., Huang H., Xu H., Xia C.
Abd-Alrazaq A., Alhuwail D., Househ M., Hai M., Shah Z.,	Abd-Alrazaq A., Alhuwail D., Househ M., Hai M., Shah Z.
de Juan Bagudá J., Farrero Torres M., García-Cosío M.D., Recio Mayoral A., Sabé Fernández N., García Pinilla J.M., González Costello J.,	de Juan Bagudá J., Farrero Torres M., García-Cosío M.D., Recio Mayoral A., Sabé Fernández N., García Pinilla J.M., González Costello J.
Zhou G., Chen S., Chen Z.,	Zhou G., Chen S., Chen Z.
Karimi A., Tabatabaei S.R., Rajabnejad M., Pourmoghaddas Z., Rahimi H., Armin S., Ghanaie R.M., Kadivar M.R., Fahimzad S.A., Sedighi I., Mirrahimi B., Dashti A.S., Bilan N., Oskouyi S.A., Barekati H., Khalili M.,	Karimi A., Tabatabaei S.R., Rajabnejad M., Pourmoghaddas Z., Rahimi H., Armin S., Ghanaie R.M., Kadivar M.R., Fahimzad S.A., Sedighi I., Mirrahimi B., Dashti A.S., Bilan N., Oskouyi S.A., Barekati H., Khalili M.
La V.-P., Pham T.-H., Ho M.-T., Nguyen M.-H., Nguyen K.-L.P., Vuong T.-T., Nguyen H.-K.T., Tran T., Khuc Q., Ho M.-T., Vuong Q.-H.,	La V.-P., Pham T.-H., Ho M.-T., Nguyen M.-H., Nguyen K.-L.P., Vuong T.-T., Nguyen H.-K.T., Tran T., Khuc Q., Ho M.-T., Vuong Q.-H.
Eynde J.J.V.,	Eynde J.J.V.
Muthusami R., Bharathi A., Saritha K.,	Muthusami R., Bharathi A., Saritha K.
Lentini G., Cavalluzzi M.M., Habtemariam S.,	Lentini G., Cavalluzzi M.M., Habtemariam S.
Liu W., Wang J., Li W., Zhou Z., Liu S., Rong Z.,	Liu W., Wang J., Li W., Zhou Z., Liu S., Rong Z.
Chauhan R.P., Dessie Z.G., Noreddin A., El Zowalaty M.E.,	Chauhan R.P., Dessie Z.G., Noreddin A., El Zowalaty M.E.
Sohrabi C., Alsafi Z., O'Neill N., Khan M., Kerwan A., Al-Jabir A., Iosifidis C., Agha R.,	Sohrabi C., Alsafi Z., O'Neill N., Khan M., Kerwan A., Al-Jabir A., Iosifidis C., Agha R.
Carrillo-Esper R., Mejía-Gómez L., Sánchez-Rosendo J., Lomelí-Terán M., Vázquez-Lesso A., Pérez-Calatayud A., Cabello-Aguilera R.,	Carrillo-Esper R., Mejía-Gómez L., Sánchez-Rosendo J., Lomelí-Terán M., Vázquez-Lesso A., Pérez-Calatayud A., Cabello-Aguilera R.
Wiesmann T., Volk T., Steinfeldt T., Kubulus C., Döffert J., Wulf H., Kerwat K., Schubert A.-K.,	Wiesmann T., Volk T., Steinfeldt T., Kubulus C., Döffert J., Wulf H., Kerwat K., Schubert A.-K.
Monares-Zepeda E., Rodríguez-Guillén J.E., Herrera-Elizalde R.E., Ugarte-Ubiergo S., La Maza A.G.,	Monares-Zepeda E., Rodríguez-Guillén J.E., Herrera-Elizalde R.E., Ugarte-Ubiergo S., La Maza A.G.
Tan Y.-T., Wang J.-W., Zhao K., Han L., Zhang H.-Q., Niu H.-Q., Shu K., Lei T.,	Tan Y.-T., Wang J.-W., Zhao K., Han L., Zhang H.-Q., Niu H.-Q., Shu K., Lei T.
Wang X.-Y.,	Wang X.-Y.
Rossi G.P., Sanga V., Barton M.,	Rossi G.P., Sanga V., Barton M.
Stawicki S., Jeanmonod R., Miller A., Paladino L., Gaieski D., Yaffee A., De Wulf A., Grover J., Papadimos T., Bloem C., Galwankar S., Chauhan V., Firstenberg M., DI Somma S., Jeanmonod D., Garg S., Tucci V., Anderson H., Fatimah L., Worlton T., Dubhashi S., Glaze K., Sinha S., Opara I., Yellapu V., Kelkar D., El-Menyar A., Krishnan V., Venkataramanaiah S., Leyfman Y., Saoud Al Thani H., Nanayakkara P.B., Nanda S., Cioè-Peña E., Sardesai I., Chandra S., Munasinghe A., Dutta V., Dal Ponte S., Izurieta R., Asensio J., Garg M.,	Stawicki S., Jeanmonod R., Miller A., Paladino L., Gaieski D., Yaffee A., De Wulf A., Grover J., Papadimos T., Bloem C., Galwankar S., Chauhan V., Firstenberg M., DI Somma S., Jeanmonod D., Garg S., Tucci V., Anderson H., Fatimah L., Worlton T., Dubhashi S., Glaze K., Sinha S., Opara I., Yellapu V., Kelkar D., El-Menyar A., Krishnan V., Venkataramanaiah S., Leyfman Y., Saoud Al Thani H., Nanayakkara P.B., Nanda S., Cioè-Peña E., Sardesai I., Chandra S., Munasinghe A., Dutta V., Dal Ponte S., Izurieta R., Asensio J., Garg M.
Rohit B., Padma Srivastava M.V., Khurana D., Pandit L., Mathew T., Gupta S., Netravathi M., Nair S.N., Singh G., Singhal B.S.,	Rohit B., Padma Srivastava M.V., Khurana D., Pandit L., Mathew T., Gupta S., Netravathi M., Nair S.N., Singh G., Singhal B.S.
Mishra S.P., Mishra S., Siddique M.,	Mishra S.P., Mishra S., Siddique M.
Pavone P., Ceccarelli M., Taibi R., La Rocca G., Nunnari G.,	Pavone P., Ceccarelli M., Taibi R., La Rocca G., Nunnari G.
Yuan W.-F., Tang X., Zhao X.-X.,	Yuan W.-F., Tang X., Zhao X.-X.
von Grätz P.G.,	von Grätz P.G.
Steinacker J.M., Bloch W., Halle M., Mayer F., Meyer T., Hirschmüller A., Röcker K., Nieß A., Scharhag J., Reinsberger C., Scherr J., Niebauer J., Wolfarth B., Steinacker J.M., Hannafin J., Hiura M., Wilkinson M., Koubaa D., Poli P., Zupet P., Smoljanovic T., Nielsen H.B., Ackerman K., Wilson F., Sports Medicine Commission of FISA,	Steinacker J.M., Bloch W., Halle M., Mayer F., Meyer T., Hirschmüller A., Röcker K., Nieß A., Scharhag J., Reinsberger C., Scherr J., Niebauer J., Wolfarth B., Steinacker J.M., Hannafin J., Hiura M., Wilkinson M., Koubaa D., Poli P., Zupet P., Smoljanovic T., Nielsen H.B., Ackerman K., Wilson F., Sports Medicine Commission of FISA
Grellety T., Ravaud A., Canivet A., Ganem G., Giraud P., Guimbaud R., Kaluzinski L., Krakowski I., Mayeur D., Lotz J.-P., You B.,	Grellety T., Ravaud A., Canivet A., Ganem G., Giraud P., Guimbaud R., Kaluzinski L., Krakowski I., Mayeur D., Lotz J.-P., You B.
van der Werf S., Peltekian C.,	van der Werf S., Peltekian C.
[No author name available],	[No author name available]
Biondi Zoccai G., Landoni G., Carnevale R., Cavarretta E., Sciarretta S., Frati G.,	Biondi Zoccai G., Landoni G., Carnevale R., Cavarretta E., Sciarretta S., Frati G.
